MillÇsime,Code rÇgion,Code EPCI,NOM EPCI,Code INSEE,Nom Commune,Code IRIS,IRIS,Numero,Lettre,Rue,Code CatÇgorie,Secteur d'activitÇ,Code_N1,LibellÇ_N1,Code_N2,LibellÇ_N2,Nombre de PDL,DonnÇes de consommation (MWh),donnÇes corrigÇes du climat,EPCI/EPT,LibellÇ de l'EPCI/EPT,Nature d'EPCI
2023,11,200054781,MÇtropole du Grand Paris,75110,PARIS 10E  ARRONDISSEMENT,751103910,Porte Saint-Martin 10,R,,RUE DES RECOLLETS,PRO,Tertiaire,,,,,4,"56,837","60,9458780296289",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75102,PARIS 2E  ARRONDISSEMENT,751020802,Bonne Nouvelle 2,35,,RUE TIQUETONNE,PRO,Tertiaire,,,,,1,"56,81507","60,9223626592682",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75114,PARIS 14E  ARRONDISSEMENT,751145502,Petit Montrouge 2,,,Somme des donnÇes secrÇtisÇes IRIS (Petit Montrouge 2),PRO,Tertiaire,,,,,4,"56,80292","60,9093343077004",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75111,PARIS 11E  ARRONDISSEMENT,751114308,Roquette 8,R,,PASSAGE CHARLES DALLERY,PRO,Tertiaire,,,,,3,"56,79805","60,9041122441501",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75112,PARIS 12E  ARRONDISSEMENT,751124612,Picpus 12,158,,AVENUE DAUMESNIL,PRO,Tertiaire,,,,,1,"56,7963","60,9022357326075",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75108,PARIS 8E  ARRONDISSEMENT,751083105,Madeleine 5,35,,BOULEVARD MALESHERBES,PRO,Tertiaire,,,,,3,"56,78518","60,890311842119",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75111,PARIS 11E  ARRONDISSEMENT,751114305,Roquette 5,154,,RUE DE LA ROQUETTE,PRO,Tertiaire,,,,,1,"56,77779","60,8823876019473",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75118,PARIS 18E  ARRONDISSEMENT,751187106,Goutte d'Or 6,R,,RUE MYRHA,PRO,Tertiaire,,,,,2,"56,77733","60,8818943474847",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75104,PARIS 4E  ARRONDISSEMENT,751041404,Saint-Gervais 4,16,,RUE PAVEE,PRO,Tertiaire,,,,,1,"56,77389","60,8782056619379",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75108,PARIS 8E  ARRONDISSEMENT,751083203,Europe 3,14,,RUE ALFRED DE VIGNY,PRO,Tertiaire,,,,,1,"56,76178","60,8652202020625",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75112,PARIS 12E  ARRONDISSEMENT,751124808,Quinze Vingts 8,R,,RUE DE LYON,PRO,Tertiaire,,,,,4,"56,7478","60,8502295555672",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75119,PARIS 19E  ARRONDISSEMENT,751197506,Amerique 6,R,,RUE DES FETES,PRO,Tertiaire,,,,,3,"56,74119","60,8431417033974",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75109,PARIS 9E  ARRONDISSEMENT,751093604,Rochechouart 4,4,,RUE DES MARTYRS,PRO,Tertiaire,,,,,1,"56,72991","60,8310462461394",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75112,PARIS 12E  ARRONDISSEMENT,751124612,Picpus 12,7,,BOULEVARD DE REUILLY,PRO,Tertiaire,,,,,1,"56,72976","60,8308854022928",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75112,PARIS 12E  ARRONDISSEMENT,751124803,Quinze Vingts 3,38,,AVENUE LEDRU ROLLIN,PRO,Tertiaire,,,,,1,"56,72277","60,8233900790452",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75114,PARIS 14E  ARRONDISSEMENT,751145621,Plaisance 21,,,Somme des donnÇes secrÇtisÇes IRIS (Plaisance 21),PRO,Tertiaire,,,,,3,"56,72005","60,8204734439617",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75118,PARIS 18E  ARRONDISSEMENT,751186921,Grandes Carrieres 21,184,,RUE DU MARCHE ORDENER,PRO,Tertiaire,,,,,1,"56,71791","60,8181787384181",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75114,PARIS 14E  ARRONDISSEMENT,751145505,Petit Montrouge 5,R,,RUE D ALESIA,PRO,Tertiaire,,,,,7,"56,70665","60,8061047270062",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75117,PARIS 17E  ARRONDISSEMENT,751176504,Ternes 4,236,,BOULEVARD PEREIRE,PRO,Tertiaire,,,,,1,"56,70017","60,7991562728367",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75115,PARIS 15E  ARRONDISSEMENT,751155808,Necker 8,58,,BOULEVARD GARIBALDI,PRO,Tertiaire,,,,,1,"56,68491","60,7827930921845",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75118,PARIS 18E  ARRONDISSEMENT,751187203,Chapelle 3,R,,RUE PHILIPPE DE GIRARD,PRO,Tertiaire,,,,,2,"56,67938","60,7768633157096",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75108,PARIS 8E  ARRONDISSEMENT,751083003,Faubourg du Roule 3,70,,AVENUE DES CHAMPS ELYSEES,ENT,Tertiaire,I,HÇbergement et restauration,55,HÇbergement,1,"56,67449","60,7716198063132",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75114,PARIS 14E  ARRONDISSEMENT,751145502,Petit Montrouge 2,30,,RUE PAUL FORT,PRO,Tertiaire,,,,,1,"56,66907","60,7658079819924",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75115,PARIS 15E  ARRONDISSEMENT,751155731,Saint-Lambert 31,31,B,RUE LA QUINTINIE,PRO,Tertiaire,,,,,1,"56,66272","60,7589989258232",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75120,PARIS 20E  ARRONDISSEMENT,751207904,Pere Lachaise 4,13,B,AVENUE DU PERE LACHAISE,PRO,Tertiaire,,,,,2,"56,6486","60,7438581584044",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75116,PARIS 16E  ARRONDISSEMENT,751166304,Porte Dauphine 4,10,,BOULEVARD FLANDRIN,PRO,Tertiaire,,,,,2,"56,64554","60,7405769439355",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75118,PARIS 18E  ARRONDISSEMENT,751187005,Clignancourt 5,28,,RUE DES TROIS FRERES,PRO,Tertiaire,,,,,1,"56,63088","60,7248571386693",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75115,PARIS 15E  ARRONDISSEMENT,751156017,Javel 17,6,,RUE DU GENERAL ESTIENNE,PRO,Tertiaire,,,,,1,"56,62648","60,7201390525049",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75107,PARIS 7E  ARRONDISSEMENT,751072810,Gros Caillou 10,R,,RUE JEAN NICOT,PRO,Tertiaire,,,,,2,"56,62201","60,7153459058787",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75104,PARIS 4E  ARRONDISSEMENT,751041601,Notre Dame 1,1,B,RUE DE BRETONVILLIERS,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"56,61668","60,7096305878658",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75120,PARIS 20E  ARRONDISSEMENT,751208018,Charonne 18,5,,RUE ALBERT MARQUET,ENT,Tertiaire,P,Enseignement,85,Enseignement,1,"56,61385","60,7065960006282",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75101,PARIS 1ER ARRONDISSEMENT,751010202,Les Halles 2,47,,RUE DE L ARBRE SEC,PRO,Tertiaire,,,,,1,"56,6038","60,6958194629116",217500016,T1-Ville de Paris,EPT
